epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.828,0.5032,0.57398,0.97416,1.02184,0.76592,0.22675,0.22545,0.17394,0.78505,0.22496,0.22424,0.18825,0.86397,1.54551,1.20392,1.31861,0.000665286,0.000665286,0.000665286
2,218.42,0.56606,0.598,0.56337,1.03877,0.93159,0.24055,0.25292,0.21331,0.93159,0.24055,0.25317,0.23507,0.65529,0.81725,0.63701,1.21171,0.00131877,0.00131877,0.00131877
3,333.654,0.52962,0.53642,0.48812,1.01373,0.9243,0.24904,0.25423,0.23106,0.9243,0.24904,0.25514,0.2422,0.49355,0.75287,0.54327,1.03098,0.00195905,0.00195905,0.00195905
4,439.733,0.47767,0.49999,0.43187,0.98137,0.98039,0.25135,0.26209,0.24291,0.98116,0.25195,0.26223,0.25457,0.4318,0.63503,0.44605,0.98976,0.0019406,0.0019406,0.0019406
5,543.43,0.45914,0.48426,0.40721,0.96475,0.95996,0.24355,0.25772,0.23913,0.95759,0.24295,0.25785,0.24651,0.42692,0.81039,0.56471,0.97706,0.0019208,0.0019208,0.0019208
6,647.112,0.42728,0.44902,0.38139,0.95273,0.99298,0.25195,0.26111,0.24373,0.99298,0.25195,0.26071,0.25262,0.41273,0.70096,0.38876,0.99046,0.001901,0.001901,0.001901
7,750.153,0.41103,0.43165,0.36436,0.94349,0.99459,0.25075,0.27524,0.25616,0.99459,0.25075,0.27617,0.26897,0.419,0.65466,0.35387,0.96419,0.0018812,0.0018812,0.0018812
8,853.159,0.38997,0.42227,0.34633,0.9338,0.9972,0.25195,0.265,0.25403,0.9972,0.25195,0.26648,0.26024,0.35123,0.63017,0.32967,0.91447,0.0018614,0.0018614,0.0018614
9,955.88,0.38059,0.41816,0.34324,0.92722,0.96528,0.25015,0.26162,0.24914,0.9676,0.25075,0.26376,0.25623,0.36987,0.59147,0.35334,0.91555,0.0018416,0.0018416,0.0018416
10,1058.47,0.36589,0.39923,0.32042,0.92021,0.99689,0.25195,0.26202,0.25239,0.99689,0.25195,0.26345,0.25836,0.35952,0.6116,0.33223,0.90403,0.0018218,0.0018218,0.0018218
11,1161.13,0.35535,0.39351,0.31219,0.91677,0.98127,0.25146,0.28584,0.27501,0.98127,0.25146,0.28545,0.27957,0.33847,0.6283,0.32477,0.90053,0.001802,0.001802,0.001802
12,1263.67,0.3504,0.41439,0.31385,0.91509,0.99188,0.25195,0.2663,0.25778,0.99188,0.25195,0.26735,0.26314,0.30512,0.64349,0.28535,0.88093,0.0017822,0.0017822,0.0017822
13,1366.08,0.3369,0.38841,0.29997,0.90528,0.97674,0.25195,0.26412,0.25492,0.97674,0.25195,0.26749,0.26279,0.3197,0.60437,0.29805,0.88441,0.0017624,0.0017624,0.0017624
14,1468.52,0.33221,0.37162,0.2936,0.91262,0.98758,0.25075,0.26103,0.25299,0.98994,0.25135,0.26256,0.25749,0.3206,0.58951,0.40972,0.88024,0.0017426,0.0017426,0.0017426
15,1571.23,0.32498,0.3702,0.2893,0.89969,0.99762,0.2517,0.26308,0.25588,0.99762,0.2517,0.26799,0.26065,0.28738,0.55782,0.27463,0.84954,0.0017228,0.0017228,0.0017228
16,1673.81,0.32561,0.36809,0.28361,0.90525,0.99284,0.25195,0.26361,0.25845,0.99284,0.25195,0.26629,0.26171,0.27473,0.58948,0.29727,0.85087,0.001703,0.001703,0.001703
